LOCID,ECOORD,NCOORD,ELEV
B10PIIHP003,389716.367222222,1428212.53833333,1105.4
B10PIIHP004,389745.277222222,1428287.94833333,1106.81
B10PIIHP005,389851.677222222,1428184.91833333,1105.33
B10PIIHP006,389537.187222222,1427412.69833333,1078.84
B10PIIHP006A,389535.187222222,1427410.69833333,1079
B10PIIHP007,389721.977222222,1427595.62833333,1078.7
B10PIIHP008,390055.207222222,1427612.92833333,1092.13
B10PIIHP009,390080.077222222,1427467.96833333,1088.79
B10PIIHP010,390110.617222222,1427256.92833333,1084.11
B10PIIHP011,390162.917222222,1427539.22833333,1067.1
B10PIIHP012,390188.687222222,1427369.49833333,1063.51
B10PIIHP013,389904.667222222,1427576.90833333,1090
B10PIIHP013A,389898.417222222,1427564.40833333,1090
B10PIIHP014,389878.667222222,1427297.42833333,1087.25
B10PIIHP016,390196.327222222,1427451.90833333,1060
B10PIIHP017,390067.167222222,1427427.94833333,1090
B10PIIHP018,390146.327222222,1427432.11833333,1070
B10PIIHP019,390072.377222222,1427386.27833333,1080
B10PIIHP020,390149.457222222,1427393.56833333,1090
B10PLTDP001,389530.607222222,1427542.43833333,1082.15
B10PLTDP002,389538.587222222,1427542.12833333,1081.57
B10PLTDP007,389520.997222222,1427552.50833333,1082.59
B10PLTDP008,389534.227222222,1427553.60833333,1081.97
B10PLTDP009,389527.517222222,1427539.38833333,1082.24
B10PLTDP011,389537.137222222,1427543.12833333,1081.76
B10PLTDP012,389533.407222222,1427537.66833333,1081.89
B10PLTDP013,389518.567222222,1427543.50833333,1082.4
B10PLTDP014,389542.267222222,1427549.23833333,1081.08
B10PLTDP015,389539.147222222,1427535.03833333,1081.59
B10PLTDP016,389527.757222222,1427557.35833333,1082.34
B10PLTDP017,389547.347222222,1427539.83833333,1080.81
B10PSHP001,389757.477222222,1427705.55833333,1082.72
B10PSHP002,389788.427222222,1427655.32833333,1083.28
B10PSHP003,389738.347222222,1427652.37833333,1080.86
B10SOHP001,389387.207222222,1427916.05833333,1096.86
B10SOHP002,389580.517222222,1427955.50833333,1103.82
B10SOHP003,389908.817222222,1428004.49833333,1102.41
B10SOHP004,390040.137222222,1427868.41833333,1097.99
B10SOHP005,390255.797222222,1427653.52833333,1066.14
B10SOHP006,390613.347222222,1427377.34833333,1049.08
B10SOHP007,390023.027222222,1427505.83833333,1090.08
B10SOHP008,390055.327222222,1427300.11833333,1086.71
B10SOHP009,389749.037222222,1427095.52833333,1083.21
B10SOHP010,389581.687222222,1428061.59833333,1103.72
B10SOHP011,389750.057222222,1428175.02833333,1105.18
B10SOHP012,389996.147222222,1427741.18833333,1094.92
B10SOHP013,389151.457222222,1427553.87833333,1098.96
B10SOHP014,389383.467222222,1428147.09833333,1104.94
B10SOHP015,390192.417222222,1427720.29833333,1069.13
B10SOHP016,390474.947222222,1427622.08833333,1058.17
B10SOHP017,390723.487222222,1426841.43833333,1066.57
B10SOHP019,390773.117222222,1427394.17833333,1049.12
B10SOHP020,391013.867222222,1427025.63833333,1039.82
B10SOHP022,389898.947222222,1427723.33833333,1094.61
B10SPHP001,389572.097222222,1427557.22833333,1079.5
B10SPHP002,389552.077222222,1427536.04833333,1080.23
B10SPHP003,389574.687222222,1427541.97833333,1079.23
B10SPHP004,389583.067222222,1427563.17833333,1079.11
B10SPHP005,389567.197222222,1427586.86833333,1079.81
B10SPHP006,389532.417222222,1427545.96833333,1082.05
B10SPHP007,389499.207222222,1427546.39833333,1083.52
B10SPHP008,389540.027222222,1427519.24833333,1080.9
B10SPHP009,389598.767222222,1427527.80833333,1077.81
B10SPHP010,389560.777222222,1427496.36833333,1078.53
B10SUMP,389406.097222222,1427578.45833333,1090
