LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1
B04714,391208.678306,1430796.574727,1034.8487729999999,NA,NA,NA,NA,0,391208.678306,1430796.574727
B04715,391207.278306,1430796.074727,1034.8487729999999,1034.71,68,88,88,0,391207.278306,1430796.074727
B04716,391227.085629,1430777.745953,1038.706919,NA,NA,NA,NA,0,391227.085629,1430777.745953
B04717,391230.18562899996,1430774.745953,1038.706919,NA,NA,NA,NA,0,391230.18562899996,1430774.745953
B04718,391251.787591,1430756.246835,1042.4842900000001,NA,NA,NA,NA,0,391251.787591,1430756.246835
B04719,391247.88759099995,1430756.246835,1042.4842900000001,NA,NA,NA,NA,0,391247.88759099995,1430756.246835
B04720,391266.73226,1430730.748206,1047.122828,NA,NA,NA,NA,0,391266.73226,1430730.748206
B04721,391078.518734,1430908.908767,1025.132208,NA,NA,NA,NA,0,391078.518734,1430908.908767
B04722,391105.801505,1430879.635605,1025.7729859999999,NA,NA,NA,NA,0,391105.801505,1430879.635605
B04723,391139.689645,1430846.019831,1029.297963,NA,NA,NA,NA,0,391139.689645,1430846.019831
B04724,391188.097936,1430802.426163,1033.1228779999999,NA,NA,NA,NA,0,391188.097936,1430802.426163
B04725,391215.70786,1430773.916569,1037.469464,NA,NA,NA,NA,0,391215.70786,1430773.916569
B04726,391263.043251,1430728.76263,1046.489896,NA,NA,NA,NA,0,391263.043251,1430728.76263
B04729,390118.3434,1430295.875,1096.7587000000001,1096.24,80,90,90,0,390118.3434,1430295.875
B04730,390124.4902,1430293.6866,1096.7574999999999,1096.5,125,135,135,0,390124.4902,1430293.6866
B04731,390189.941,1431015.5664,1079.6241,NA,NA,NA,NA,0,390189.941,1431015.5664
B04732D,390309.796,1431181.5486,1038.7817,NA,NA,NA,NA,0,390309.796,1431181.5486
B04732S,390301.8689,1431184.5929,1038.9143999999999,NA,NA,NA,NA,0,390301.8689,1431184.5929
B04733,390601.4886,1431264.6684,1030.7094,NA,NA,NA,NA,0,390601.4886,1431264.6684
B04734,391031.1198,1430965.3563,1031.9145000000001,1031.75,48,58,58,0,391031.1198,1430965.3563
B04735,391037.3152,1430969.3912,1031.92,1031.52,65,75,75,0,391037.3152,1430969.3912
B04736,391037.0776,1430962.7798,1031.3186000000001,1030.94,88,98,98,0,391037.0776,1430962.7798
B04737,391293.4254,1430701.5752,1053.6797999999999,1053.2,42,52,52,0,391293.4254,1430701.5752
B04FRAC,389952.95668,1429600.87857,1109.1300000000001,NA,NA,NA,NA,0,389952.95668,1429600.87857
B04MIP01,389868.10523,1429538.06929,1107.57,NA,NA,NA,NA,0,389868.10523,1429538.06929
B04MIP02,389896.68209,1429525.36903,1107.8900000000001,NA,NA,NA,NA,0,389896.68209,1429525.36903
B04MIP03,389873.94107,1429553.59124,1107.51,NA,NA,NA,NA,0,389873.94107,1429553.59124
B04MIP04,389945.7287,1429700.75985,1105.6099999999999,NA,NA,NA,NA,0,389945.7287,1429700.75985
B04MIP05,389912.25729,1429593.95891,1107.49,NA,NA,NA,NA,0,389912.25729,1429593.95891
B04MIP06,389898.91989,1429611.03907,1107.28,NA,NA,NA,NA,0,389898.91989,1429611.03907
B04MIP07,389965.67311,1429676.81525,1108.6300000000001,NA,NA,NA,NA,0,389965.67311,1429676.81525
B04MIP08,389906.99626,1429544.37133,1108.01,NA,NA,NA,NA,0,389906.99626,1429544.37133
