LOCID,BEGDEPTH,ENDDEPTH,LOGDATE,ASTMCODE,HS_UNIT,VISDESC,USER_COMMENTS,lithcode
AFFHP011,21.5,25,2001-09-21T06:00:00Z,ML,NA,"CLAYEY SILT: SAPROLITE OF GRANITIC GNEISS, WET, RELICT STRUCTURE VISIBLE, VERY SOFT.",NA,SILT
AFFHP011,19,20,2001-09-21T06:00:00Z,ML,NA,"CLAYEY SILT: SAPROLITE OF GRANITIC GNEISS, MOIST, RELICT STRUCTURE VISIBLE, SOFT.",NA,SILT
AFFHP011,20,21.5,2001-09-21T06:00:00Z,ML,NA,"CLAYEY SILT: SAPROLITE OF GRANITIC GNEISS, DAMP, RELICT STRUCTURE VISIBLE, SOFT.",NA,SILT
AFFHP011,10,11.1,2001-09-21T06:00:00Z,CL,NA,"SILTY CLAY: DARK REDDISH BROWN, WET.",NA,CLAY
AFFHP011,18,19,2001-09-21T06:00:00Z,ML,NA,"CLAYEY SILT: WET, STRONG BROWN, ROCK FRAGMENTS.",NA,SILT
AFFHP011,11.1,13,2001-09-21T06:00:00Z,CL,NA,"SILTY CLAY: DARK YELLOWISH BROWN, MOIST.",NA,CLAY
AFFHP011,13,18,2001-09-21T06:00:00Z,ML,NA,"CLAYEY SILT: LIGHT GRAY AND YELLOWISH RED/REDDISH YELLOW MOTTLED, MOIST, COMPACT, SOFT.",NA,SILT
AFFHP011,0,0.3,2001-09-21T06:00:00Z,GM,NA,ASPHALT AND GRAVEL.,NA,SILTY GRAVEL
AFFHP011,9,10,2001-09-21T06:00:00Z,CL,NA,SILTY CLAY: DAMP.,NA,CLAY
AFFHP011,0.3,1.5,2001-09-21T06:00:00Z,NA,NA,FILL: RED CLAYEY SILT TYPICAL.,NA,NA
AFFHP011,1.5,5,2001-09-21T06:00:00Z,ML,NA,"CLAYEY SILT: SAPROLITE OF BIOTITE SCHIST WITH ROCK PIECES, SLIGHTLY MOIST.",NA,SILT
AFFHP011,5,9,2001-09-21T06:00:00Z,ML,NA,"CLAYEY SILT: DARK BROWN, ORGANIC DEBRIS, GRADING INTO DARK RED, SOFT, MOIST TO DAMP, SCHIST ROCK FRAGMENTS.",NA,SILT
AFFHP012,23,25,2001-09-24T06:00:00Z,NA,NA,"SILTY SAND TO CLAYEY SILT: SAPROLITE OF GRANITIC GNEISS, DAMP, SOFT, BLACK AND WHITE WHERE SANDY, TO OLIVE YELLOW AND GRAY WHERE CLAYEY.",NA,NA
AFFHP012,0,2,2001-09-24T06:00:00Z,NA,NA,"FILL: CLAYEY SILT, RED, MOIST, SOFT, LARGE GRAINS OF MUSCOVITE AND FELDSPAR, ORGANIC MATERIAL TOP 1' BGS.",NA,NA
AFFHP012,2,3.9,2001-09-24T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF GRANITIC GNEISS WITH ROCK LAYERS, BLACK AND WHITE, WEATHERING TO LIGHT OLIVE BROWN, MOIST, SOFT SOIL.",NA,SILTY SAND
AFFHP012,15,20,2001-09-24T06:00:00Z,ML,NA,"CLAYEY SILT: SAPROLITE OF GRANITIC GNEISS, MOIST, SOFT, RELICT STRUCTURE VISIBLE, HARD LAYER (1) AT TOP, OLIVE YELLOW AND YELLOW WITH GRAY.",NA,SILT
AFFHP012,3.9,4.4,2001-09-24T06:00:00Z,ML,NA,"CLAYEY SILT: RED, AMPHIBOLITE ROCK FRAGMENTS, SOFT, MOIST.",NA,SILT
AFFHP012,4.4,10,2001-09-24T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE OF AMPHIBOLITE GNEISS, BLACK WITH WHITE TO YELLOW FELDSPAR (MINOR), LOOSE, MOIST.",NA,SILTY SAND
