LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1,start_date,last_date,last_meas,last10mean,water_elev
MW-W1R,389800.337222222,1429504.82833333,1107.26,1107.05,30,40,40,0,389800.337222222,1429504.82833333,2011-10-05,2019-10-22,24.53,24.727,1082.3229999999999
MW-W2,390427.767222222,1430015.11833333,1092.73,1093.79,180,190,190,0,390427.767222222,1430015.11833333,1997-02-19,2019-10-16,34.91,35.721,1058.069
MW-W3,391808.637222222,1430391.08833333,1078.6,1078.54,176,186,186,0,391808.637222222,1430391.08833333,1998-04-02,2018-04-02,22.05,25.738,1052.802
MW-W4,391700.537222222,1430541.04833333,1064.1,1063.57,60,70,70,0,391700.537222222,1430541.04833333,1997-06-04,2002-04-24,NA,54.45666666666667,1009.1133333333332
MW-W5,391895.377222222,1430432.86833333,1073.2,1073.16,190,200,200,0,391895.377222222,1430432.86833333,1997-06-04,2018-04-02,16.68,20.27888888888889,1052.8811111111113
MW-W6,392064.267222222,1430489.94833333,1052.18,1052.18,77,87,87,0,392064.267222222,1430489.94833333,2000-03-07,2018-04-02,44.47,46.004,1006.176
MW-W7,391908.647222222,1430585.42833333,1039.15,1039.15,41,51,51,0,391908.647222222,1430585.42833333,2000-03-06,2016-05-18,37.76,37.187777777777775,1001.9622222222223
MW/W1,389998.047222222,1429502.99833333,1106.12,NA,NA,NA,NA,0,389998.047222222,1429502.99833333,1997-06-09,1997-06-09,24.83,24.83,NA
MW00-101,392105.057222222,1431766.15833333,1024.11,1024.14,198,213,213,0,392105.057222222,1431766.15833333,2001-03-13,2008-06-10,28.5,22.977,1001.1630000000001
MW00-102A,392016.127222222,1431256.77833333,1006.33,1008.86,265,280,280,0,392016.127222222,1431256.77833333,2001-03-13,2019-10-21,8.19,7.248,1001.612
MW00-102B,391984.717222222,1431255.88833333,1006.09,1008.86,20.5,27.5,27.5,0,391984.717222222,1431255.88833333,2001-03-13,2019-10-21,13.41,10.922,997.938
MW00-103A,392455.907222222,1431546.87833333,1051.1,1053.89,521,551,551,0,392455.907222222,1431546.87833333,2001-03-13,2019-10-22,49.81,47.699,1006.1910000000001
MW00-103B,392447.307222222,1431541.88833333,1050.98,1053.29,88,98,98,0,392447.307222222,1431541.88833333,2001-03-13,2019-10-22,45.85,40.528,1012.762
MW00-104,392231.437222222,1430953.54833333,1002.83,1005.86,263,278,278,0,392231.437222222,1430953.54833333,2001-03-13,2002-04-24,15.32,79.38,926.48
MW00-107A,392380.137222222,1429349.81833333,1071.3,1073.26,286,301,301,0,392380.137222222,1429349.81833333,2002-04-24,2018-04-02,9.83,12.732857142857142,1060.5271428571427
MW00-107B,392380.677222222,1429350.57833333,1071.3,1073.29,128,143,143,0,392380.677222222,1429350.57833333,2002-04-24,2019-10-20,12.52,10.832,1062.4579999999999
MW00-107C,392379.137222222,1429335.78833333,1071.28,1073.29,55,65,65,0,392379.137222222,1429335.78833333,2002-04-24,2019-10-20,44.95,21.821,1051.469
MW1,390117.577222222,1430138.94833333,1097.05,1097.88,25.5,30.5,30.5,0,390117.577222222,1430138.94833333,1986-01-30,2018-04-02,37.05,40.769,1057.111
MW26,389958.657222222,1429633.25833333,1109.53,1112.11,44.8,49.8,49.8,0,389958.657222222,1429633.25833333,1986-01-30,2019-10-23,29.24,27.455,1084.655
MW27,390374.417222222,1430024.82833333,1094.06,1096.81,50,55,55,0,390374.417222222,1430024.82833333,1986-01-30,2019-10-16,42.35,42.052,1054.758
MW28,390764.197222222,1429954.72833333,1074.17,1074.17,29.5,34.5,34.5,0,390764.197222222,1429954.72833333,1986-01-30,2002-04-23,NA,19.25857142857143,1054.9114285714286
MW29,390867.697222222,1430594.64833333,1040.1,1042.67,25.5,30.5,30.5,0,390867.697222222,1430594.64833333,1986-01-30,2019-10-16,7.96,7.441111111111111,1035.228888888889
MW30,391125.317222222,1430915.54833333,1028.18,1031.26,NA,NA,NA,0,391125.317222222,1430915.54833333,1994-12-08,1995-12-15,12.5,12.533333333333333,1018.7266666666667
MW30A,391123.687222222,1430911.16833333,1027,1030.18,20.5,25.5,25.5,0,391123.687222222,1430911.16833333,1997-02-20,2008-06-30,14.84,13.418,1016.7620000000001
MW30AR,391124.607222222,1430917.85833333,1027,1030.18,20.5,25.5,25.5,0,391124.607222222,1430917.85833333,2009-03-12,2019-10-20,6.5,6.9,1023.2800000000001
MW30B,391115.877222222,1430912.83833333,1027.3,1029.55,52,62,62,0,391115.877222222,1430912.83833333,1994-12-08,2010-12-16,11.55,9.211,1020.3389999999999
MW30BR,391127.107222222,1430917.36833333,1027,1030.18,20.5,25.5,25.5,0,391127.107222222,1430917.36833333,2012-10-03,2019-10-15,10.72,8.252,1021.9280000000001
MW31,391006.777222222,1430228.85833333,1063.12,1065.54,25.5,30.5,30.5,0,391006.777222222,1430228.85833333,1986-01-30,2017-10-02,NA,24.544285714285714,1040.9957142857143
MW5,390557.357222222,1430056.59833333,1086.96,1089.47,56,66,66,0,390557.357222222,1430056.59833333,1986-01-30,2019-10-15,44.39,41.849,1047.621
MW52,391811.897222222,1430086.30833333,1088.68,1091.43,17,27,27,0,391811.897222222,1430086.30833333,1994-12-09,2018-04-02,15.81,18.741,1072.689
MW53,391534.747222222,1430150.34833333,1099.78,1102.4,18.5,28.5,28.5,0,391534.747222222,1430150.34833333,1986-01-30,2017-10-02,25.75,30.549,1071.851
MW54,391488.847222222,1430229.67833333,1082.64,1084.93,20,30,30,0,391488.847222222,1430229.67833333,1986-01-30,2017-10-02,24.7,31.88625,1053.04375
MW56,391383.047222222,1430474.78833333,1068.1,1070.4,14,24,24,0,391383.047222222,1430474.78833333,1994-12-08,2018-04-02,12.44,21.3825,1049.0175000000002
MW6,390394.517222222,1429803.64833333,1106.97,1108.51,NA,NA,NA,0,390394.517222222,1429803.64833333,1986-01-30,2018-04-02,49.65,49.46375,1059.04625
MW7,391656.387222222,1430212.06833333,1098.9,1101.18,NA,NA,NA,0,391656.387222222,1430212.06833333,1986-01-30,2018-04-02,22.23,23.737000000000002,1077.443
MW99-01A,391881.867222222,1430319.16833333,1084.88,1084.87,100,120,120,0,391881.867222222,1430319.16833333,2000-08-25,2019-10-17,28.71,29.518,1055.3519999999999
MW99-01B,391867.827222222,1430329.77833333,1084.92,1084.91,30,40,40,0,391867.827222222,1430329.77833333,2000-08-25,2018-04-02,22.68,26.826999999999998,1058.083
MW99-02A,391985.147222222,1430090.45833333,1083.04,1082.78,110,130,130,0,391985.147222222,1430090.45833333,2000-08-25,2018-04-02,15.14,16.6,1066.18
MW99-02B,391972.087222222,1430077.74833333,1083.22,1083.08,19,24,24,0,391972.087222222,1430077.74833333,2000-08-25,2018-04-02,15.21,16.636,1066.444
MW99-03A,392194.457222222,1429901.08833333,1065.46,1065.1,170,194,194,0,392194.457222222,1429901.08833333,2000-08-25,2018-04-02,6.52,7.103,1057.9969999999998
MW99-03B,392195.957222222,1429900.68833333,1065.46,1065.21,54,75,75,0,392195.957222222,1429900.68833333,2000-08-25,2018-04-02,5.64,9.964,1055.246
MWG1,389970.537222222,1429666.68833333,1109.2,1111.87,102.3,127,127,0,389970.537222222,1429666.68833333,1986-01-30,2018-04-02,32.5,33.608000000000004,1078.262
MWG10,390377.997222222,1430324.70833333,1080.28,1082.95,53.5,63.5,63.5,0,390377.997222222,1430324.70833333,1986-01-30,2019-10-16,32.75,32.561,1050.3890000000001
